Kanton,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
AG,5.110636864,4.987555544,5.383498669,4.912947925,4.718711034,4.438993748,4.178944079,4.880122428,4.650072399,4.589633555,4.48911082,4.032258065,3.793008658,3.824110745,3.638679825,3.588339214,3.31514087,3.418939148,3.053487105,3.002551505,2.69420939,2.513761313,2.514746973,2.474575925,2.165822953
AR,4.469425069,4.571807189,4.382405454,4.07743924,4.05803347,3.41232821,3.87356678,3.754134017,3.302741568,3.799763954,3.653976886,3.763800602,4.201565289,3.84311374,3.811628228,3.596338274,3.340048775,3.028514231,3.270232904,3.217770397,2.681507716,2.107978077,2.212927387,1.859489356,2.016365384
AI,4.06710727,3.729951511,3.593556382,4.627374574,3.613490364,2.762113016,3.358710255,3.577235772,4.306722689,2.958881747,3.884849089,2.735176321,3.624570775,3.834642724,2.864270535,2.528216704,3.833808845,2.772410317,2.924465241,3.578690525,1.595787122,2.120807478,2.162496138,2.242320054,2.040965085
BL,4.677009321,4.435623197,4.947297337,5.214109784,4.511566209,4.929733933,5.074290039,4.776672492,4.87861094,4.426104653,4.038441565,4.390100354,3.95880939,3.867556875,4.090039208,3.991655401,4.116402721,4.016064257,3.439714915,3.01727724,2.640010954,2.557963229,2.561945137,2.548830364,2.664434018
BS,9.383893547,10.11581126,11.10454207,10.99238988,10.07624573,10.53889753,9.260087109,9.271973696,8.281781336,7.453937382,7.038434041,7.02587519,6.430319933,7.260505006,6.942168821,6.418033582,5.92970603,5.744957947,4.524457006,3.727701408,2.968735504,3.819691855,4.348078823,4.589686704,4.803219204
BE,6.290542615,6.151081087,6.307954576,6.045297858,5.768308504,5.729800019,5.529305502,5.539924185,5.297385836,5.33197682,5.347954922,5.272480322,4.998982037,4.644771368,4.339271757,4.308926995,4.008827638,3.849010634,3.819452212,3.86193934,3.745723656,3.496101322,3.509812507,3.518848808,3.351785149
FR,4.620929731,4.342718557,4.714889592,4.605367635,3.909999435,4.122403678,4.021728128,4.386453062,4.188802615,4.226348584,3.90518737,4.355854363,4.346693677,4.194254213,3.884139763,3.729088524,3.221069585,3.076338207,3.181710459,2.955227088,2.479174931,2.503377023,2.477477477,2.377133818,2.360282032
GE,4.756071197,4.613433433,4.725242877,4.29262569,4.198999232,4.160843222,4.591740376,4.715706932,4.692380113,4.940237306,4.854230319,4.739003262,4.580481385,4.224643524,4.135251111,4.14016165,4.339337603,4.016021888,3.850952833,3.148212926,3.467937679,4.005684613,4.386260881,4.216031594,3.876431298
GL,5.322494798,4.70362371,5.170873878,3.69677331,4.431686559,3.894011279,3.726212128,4.401255011,4.339979374,3.610866188,4.492179524,4.16,3.93452943,4.413717678,3.501146927,4.107100545,4.072841198,4.469273743,2.973384582,3.032226218,2.784844943,3.137440119,2.983392449,3.418080016,3.219160443
GR,8.006960874,8.040423059,7.382083889,7.130745612,6.740256815,6.540275032,6.646477807,6.469843294,5.892627009,6.437356681,5.77835698,5.869926303,5.509159376,5.18586579,4.748460936,5.188636432,4.452522244,4.016548749,4.022089343,3.676239333,3.421517238,3.36300158,3.49875947,3.163313423,3.176652893
