"Objektart","Strassenart","Unfallschwere","Unfalltyp","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"Fahrrad","Autobahn","Unfall mit Getöteten","Auffahrunfall",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fahrrad","Autobahn","Unfall mit Getöteten","Beim Kreuzen (in Längsrichtung)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fahrrad","Autobahn","Unfall mit Getöteten","Beim Queren (ohne Abbiegen)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fahrrad","Autobahn","Unfall mit Getöteten","Beim Richtungswechsel (mit Abbiegen)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fahrrad","Autobahn","Unfall mit Getöteten","Beim Vorbeifahren, Fahrstreifenwechsel",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fahrrad","Autobahn","Unfall mit Getöteten","Fussgängerunfall",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fahrrad","Autobahn","Unfall mit Getöteten","Schleuder-, Selbstunfall",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fahrrad","Autobahn","Unfall mit Getöteten","Tierunfall",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fahrrad","Autobahn","Unfall mit Getöteten","Ueberholunfall",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fahrrad","Autobahn","Unfall mit leicht Verletzten","Auffahrunfall",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fahrrad","Autobahn","Unfall mit leicht Verletzten","Beim Kreuzen (in Längsrichtung)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fahrrad","Autobahn","Unfall mit leicht Verletzten","Beim Queren (ohne Abbiegen)",0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fahrrad","Autobahn","Unfall mit leicht Verletzten","Beim Richtungswechsel (mit Abbiegen)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fahrrad","Autobahn","Unfall mit leicht Verletzten","Beim Vorbeifahren, Fahrstreifenwechsel",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fahrrad","Autobahn","Unfall mit leicht Verletzten","Fussgängerunfall",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
