Kanton,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
AG,236043,239081,244652,249590,254808,259639,265854,273313,280261,287399,294212,300916,306571,311370,316298,321731,327074,329151,339424,348117,357099,364771,371223,378078,385642
AR,22418,22860,23306,23409,21340,23990,24081,24949,25345,25663,26040,26402,26904,27053,26490,26933,27631,28733,27580,28376,29144,29696,30312,30874,31345
AI,5565,5711,5728,5803,5394,6081,6136,6313,6461,6678,6837,6975,7153,7349,7421,7635,7731,8243,8286,8518,8654,8808,8951,9246,9456
BL,100133,101209,110188,112172,113542,115819,118395,121536,124367,127043,129485,131523,132804,133190,134693,134394,136417,143092,138195,139882,141538,142222,143596,145003,146631
BS,64510,64079,63967,63876,63735,63241,63417,63982,64044,64675,64724,65455,65212,66279,64812,64700,65319,64339,66077,66523,67356,66805,67028,65741,65956
BE,393552,393976,391440,399943,396217,403029,410672,420001,429355,439226,448988,455819,461589,465327,478545,481257,487023,471407,480990,488368,496854,504791,512043,519826,527314
FR,100572,102373,105124,108064,110726,113251,115705,119163,122182,125567,128866,131608,134381,136866,140577,142995,147724,155560,154180,158902,164212,168351,172240,176522,180259
GE,192717,191917,194254,197234,199956,202029,204237,207496,212902,217772,220854,222358,223642,224694,222710,221251,217702,215009,216504,218270,219766,219275,219636,221143,221757
GL,16075,16142,16426,16746,15389,17038,17108,17462,17686,18022,18447,18802,19137,19308,18558,18903,18965,20047,20651,21242,21822,22225,22572,23013,23231
GR,76593,77869,79681,81410,82564,82607,83438,84901,85829,86926,88213,89505,90779,92251,94140,95744,97940,101032,100122,102308,104538,106006,107662,109262,110726
JU,30106,30242,30987,31432,32086,32920,33523,34253,34575,35110,35446,36015,36472,36913,36981,37548,37888,37801,38600,39412,40077,40942,41438,41989,42575
LU,133163,135175,137775,140035,142408,144233,146888,150544,154246,158329,161707,163576,166508,168848,171365,175335,178789,180089,185867,190978,196171,200121,204286,209062,213061
NE,76439,76463,77394,78795,80708,81325,81974,83039,84563,85733,86549,87004,87796,87734,86894,87511,88117,88526,89980,91713,93517,94890,95191,96255,96938
NW,16209,16485,16760,17149,16348,18495,18574,19237,19943,20632,21151,21344,21917,21988,21813,22280,22415,23389,23874,24369,24837,25341,25705,26049,26430
OW,12891,13134,13532,13945,12959,14628,14839,15543,15826,16233,16651,16987,17189,17220,17297,17725,17932,18782,19542,20110,20701,21091,21454,21771,22042
SH,31994,32103,32574,32829,33856,33776,34460,35146,35888,36660,37515,38242,38729,39159,38219,38957,39711,39078,40311,41437,42334,43024,43785,44296,44970
SZ,53710,55469,57290,59021,60457,61876,63566,65954,67984,70678,72983,74448,76468,77768,76528,79809,81805,83108,86245,88593,91168,92766,94458,96378,98477
SO,106566,105010,106659,109549,111296,112671,115465,118417,121243,124110,126974,129378,131042,133473,133213,134991,135941,136240,139864,142534,145972,148322,150356,152385,155081
SG,172881,174807,178914,183589,187277,189418,193455,198436,203260,208618,214271,218103,222317,224047,228737,231267,232637,238473,246075,252838,259581,264860,268737,272067,275969
TG,95589,97338,100901,103324,105241,106601,108156,111402,114401,117629,120567,123245,125209,126377,129898,131559,137042,145313,142616,147056,151919,155407,159528,163678,167035
TI,157260,160109,163845,167561,170164,172584,175749,179394,182624,185979,188109,188428,191130,193374,195473,198713,200122,202068,204462,208141,211697,215106,218839,222243,224565
UR,13740,13936,14281,14480,13393,15012,15091,15848,15750,15999,16307,16585,16686,16685,16138,16332,16331,17240,17699,18019,18444,18756,19018,19346,19563
VS,127080,128358,130793,132981,136337,138774,142282,145984,148643,152579,156589,160561,163359,166673,170647,174007,175605,181230,185530,191508,197712,201380,205075,209439,213611
VD,285141,285286,290504,296014,301230,306791,313138,323067,330654,337893,342505,347813,353119,353999,351776,355741,361110,357553,366762,375399,384687,391740,397551,403749,410283
ZG,42292,43348,44457,45618,47176,48607,50553,52603,54606,56581,58176,59425,60511,62206,61928,63392,64963,65159,66963,68959,71061,72770,74798,76957,79137
ZH,521888,521023,527619,538764,547536,553113,564472,577241,590758,606207,617047,622878,634529,651102,658731,674948,665751,658814,669381,681387,693864,701419,709008,723697,731975
