Kanton,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
AG,1547,1531,1691,1576,1544,1484,1431,1722,1686,1708,1709,1569,1504,1542,1491,1499,1408,1464,1345,1358,1250,1191,1215,1213,1079
AR,132,138,135,127,113,109,125,126,113,132,129,135,153,141,138,132,126,118,123,124,106,85,91,78,86
AI,32,30,29,38,27,24,30,33,41,29,39,28,38,41,31,28,43,33,35,44,20,27,28,30,28
BL,574,552,674,724,636,710,751,727,762,709,661,731,667,654,701,685,720,736,611,544,482,469,475,478,506
BS,732,787,864,858,785,820,725,736,660,604,571,577,528,607,572,529,495,472,381,317,256,327,374,391,413
BE,3237,3176,3234,3176,3019,3058,3018,3107,3053,3155,3245,3319,3192,2988,2898,2895,2732,2534,2561,2630,2596,2462,2509,2551,2465
FR,600,573,638,638,554,598,596,670,656,681,646,736,751,738,702,685,612,615,631,605,525,543,550,541,550
GE,1122,1084,1125,1039,1033,1039,1167,1222,1256,1359,1360,1348,1319,1226,1194,1193,1238,1142,1108,918,1023,1181,1300,1264,1170
GL,110,98,110,81,88,87,84,101,101,86,110,104,100,113,87,104,104,120,82,86,81,93,90,105,100
GR,819,837,786,778,748,731,755,751,695,772,705,728,692,666,624,686,610,566,563,526,500,498,526,483,492
JU,224,247,197,218,212,192,213,227,217,203,220,172,182,162,167,171,160,159,155,149,147,115,161,165,134
LU,1105,1058,1057,1079,1034,1142,1084,1165,1187,1312,1240,1299,1184,1210,1118,1105,1135,1155,1095,1107,1031,967,1010,1013,855
NE,569,518,540,485,470,454,477,479,515,524,512,448,446,406,425,384,375,361,307,310,296,280,285,282,300
NW,103,82,113,108,113,83,97,127,103,89,104,114,112,85,94,87,93,88,79,82,79,82,80,103,91
OW,113,110,100,94,96,91,119,81,91,112,82,105,97,93,100,98,89,110,88,83,80,58,63,66,101
SH,168,151,197,180,173,165,168,153,201,197,203,204,184,197,205,199,165,166,133,147,168,148,163,158,170
SZ,416,374,415,467,397,407,407,422,389,397,415,458,404,367,330,358,366,348,358,328,315,292,271,298,297
SO,767,777,813,799,720,793,755,854,911,884,916,915,947,868,881,964,844,843,846,788,679,620,586,613,632
SG,1310,1322,1349,1263,1179,1213,1274,1430,1402,1439,1291,1344,1285,1240,1197,1402,1279,1331,1211,1252,1210,980,972,911,876
TG,682,738,659,612,570,626,657,653,671,692,746,758,668,684,624,674,682,637,656,666,616,609,632,598,566
TI,1771,1723,1762,1708,1641,1625,1551,1615,1668,1635,1612,1525,1465,1361,1507,1352,1256,1154,1193,1128,1050,954,869,904,724
UR,134,142,163,184,166,165,160,156,158,160,145,157,116,118,104,127,115,149,109,105,106,123,94,117,102
VS,871,914,822,790,706,733,749,715,806,759,821,761,718,621,621,637,591,601,590,565,555,498,530,505,469
VD,2725,2620,2670,2602,2349,2319,2422,2573,2717,2538,2531,2421,2353,2111,2124,2294,2043,2032,1981,1802,1758,1782,1609,1400,1692
ZG,307,310,249,325,283,305,320,306,311,320,313,301,345,315,338,336,340,347,334,314,279,254,276,267,269
ZH,3102,2960,3135,3081,2922,3102,3097,3283,3367,3400,3321,3583,3441,3152,3218,3287,3115,3225,3034,3012,2940,2835,3044,3202,3410
